Tiempo;Velocidad
0;1
1;1
2;2
3;2
4;2
5;2
6;2
7;2
8;2
9;2
10;2
11;2
12;2
13;2
14;2
15;2
16;2
17;2
18;2
19;2
20;2
21;2
22;2
23;1
24;1
25;1
26;1
27;1
28;0,987295787
29;0,873139355
30;0,70824673
31;0,449129749
32;0,245449573
33;0,324282445
34;0,276449268
35;0,552686415
36;0,878652618
37;1
38;1
39;2
40;2
41;2
42;2
43;2
44;2
45;2
46;2
47;2
48;2
49;2
50;2
51;2
52;2
53;2
54;2
55;2
56;2
57;2
58;2
59;2
60;2
61;2
62;2
63;2
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;2
78;2
79;2
80;2
81;2
82;2
83;2
84;2
85;2
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;2
96;2
97;2
98;2
99;2
100;2
101;2
102;2
103;1
104;1
105;1
106;0,941136841
107;0,771561437
108;0,629135615
109;0,423125171
110;0,25306627
111;0,127502896
112;0,066542306
113;0,054359298
114;0,082921334
115;0,286202457
116;0,533253491
117;0,79819913
118;1
119;2
120;2
121;3
122;3
123;4
124;4
125;5
126;6
127;6
128;7
129;8
130;8
131;9
132;10
133;11
134;12
135;12
136;13
137;14
138;15
139;16
140;17
141;18
142;19
143;20
144;21
145;22
146;23
147;24
148;24
149;25
150;26
151;27
152;27
153;28
154;29
155;29
156;30
157;30
158;31
159;31
160;32
161;32
162;32
163;32
164;32
165;32
166;32
167;32
168;32
169;32
170;32
171;31
172;31
173;31
174;31
175;31
176;31
177;30
178;30
179;30
180;30
181;30
182;30
183;30
184;29
185;29
186;29
187;28
188;28
189;28
190;27
191;27
192;26
193;26
194;26
195;25
196;24
197;24
198;23
199;23
200;22
201;21
202;20
203;19
204;18
205;17
206;16
207;15
208;14
209;13
210;12
211;11
212;10
213;9
214;8
215;7
216;6
217;5
218;5
219;4
220;3
221;3
222;2
223;1
224;0,93848621
225;0,539122143
226;0,24969311
227;0,100325736
228;0,733467439
229;1
230;2
231;3
232;5
233;6
234;8
235;10
236;12
237;13
238;15
239;17
240;19
241;21
242;23
243;25
244;28
245;30
246;32
247;33
248;35
249;37
250;39
251;40
252;42
253;43
254;44
255;45
256;45
257;46
258;46
259;47
260;47
261;47
262;46
263;46
264;46
265;45
266;45
267;44
268;43
269;43
270;42
271;41
272;40
273;40
274;39
275;39
276;38
277;38
278;38
279;38
280;38
281;38
282;38
283;38
284;39
285;39
286;39
287;40
288;40
289;41
290;41
291;41
292;42
293;42
294;42
295;42
296;42
297;42
298;42
299;42
300;41
301;41
302;41
303;40
304;40
305;39
306;39
307;38
308;38
309;38
310;37
311;37
312;37
313;37
314;36
315;36
316;36
317;37
318;37
319;37
320;37
321;38
322;38
323;39
324;39
325;40
326;40
327;41
328;42
329;42
330;43
331;43
332;44
333;45
334;45
335;46
336;46
337;46
338;47
339;47
340;47
341;47
342;47
343;46
344;46
345;45
346;44
347;44
348;42
349;41
350;40
351;39
352;37
353;35
354;34
355;32
356;30
357;29
358;27
359;26
360;24
361;23
362;22
363;20
364;19
365;18
366;17
367;16
368;15
369;15
370;14
371;14
372;13
373;13
374;13
375;13
376;13
377;13
378;13
379;13
380;13
381;13
382;14
383;14
384;14
385;14
386;15
387;15
388;15
389;15
390;15
391;15
392;15
393;15
394;14
395;14
396;14
397;13
398;13
399;12
400;12
401;11
402;11
403;10
404;10
405;9
406;9
407;8
408;7
409;7
410;6
411;6
412;5
413;5
414;5
415;5
416;5
417;4
418;4
419;4
420;5
421;5
422;5
423;6
424;6
425;6
426;7
427;8
428;8
429;9
430;10
431;10
432;11
433;12
434;12
435;13
436;14
437;15
438;16
439;17
440;18
441;19
442;20
443;21
444;22
445;23
446;24
447;25
448;26
449;27
450;28
451;28
452;29
453;30
454;30
455;31
456;31
457;31
458;32
459;32
460;33
461;33
462;33
463;33
464;34
465;34
466;34
467;34
468;33
469;33
470;33
471;32
472;31
473;31
474;30
475;29
476;28
477;27
478;26
479;26
480;25
481;24
482;23
483;22
484;22
485;21
486;21
487;20
488;20
489;19
490;19
491;19
492;19
493;19
494;19
495;19
496;19
497;19
498;19
499;19
500;20
501;20
502;20
503;21
504;21
505;22
506;22
507;22
508;23
509;23
510;23
511;24
512;24
513;24
514;24
515;24
516;25
517;25
518;25
519;24
520;24
521;24
522;24
523;25
524;25
525;25
526;25
527;25
528;25
529;25
530;26
531;26
532;26
533;26
534;26
535;26
536;27
537;27
538;27
539;27
540;27
541;27
542;27
543;27
544;26
545;26
546;26
547;25
548;25
549;25
550;24
551;24
552;23
553;22
554;22
555;21
556;20
557;20
558;19
559;18
560;18
561;17
562;16
563;16
564;15
565;15
566;14
567;14
568;13
569;13
570;12
571;12
572;12
573;11
574;11
575;11
576;11
577;11
578;10
579;10
580;10
581;10
582;10
583;10
584;10
585;10
586;9
587;9
588;9
589;9
590;9
591;9
592;9
593;9
594;9
595;8
596;8
597;8
598;8
599;8
600;8
601;8
602;8
603;8
604;8
605;7
606;7
607;7
608;7
609;7
610;7
611;7
612;7
613;7
614;7
615;7
616;7
617;6
618;6
619;6
620;6
621;6
622;6
623;6
624;6
625;6
626;6
627;6
628;7
629;7
630;7
631;7
632;7
633;7
634;7
635;7
636;7
637;7
638;7
639;7
640;7
641;7
642;7
643;7
644;7
645;7
646;7
647;7
648;7
649;8
650;8
651;8
652;8
653;8
654;8
655;8
656;8
657;8
658;8
659;8
660;8
661;7
662;7
663;7
664;7
665;7
666;7
667;7
668;7
669;7
670;7
671;7
672;7
673;7
674;7
675;7
676;6
677;6
678;6
679;6
680;6
681;6
682;5
683;5
684;5
685;5
686;4
687;4
688;4
689;4
690;3
691;3
692;3
693;3
694;3
695;2
696;2
697;2
698;2
699;2
700;1
701;1
702;1
703;0,959135826
704;0,817713618
705;0,687578934
706;0,537651475
707;0,395523634
708;0,269587895
709;0,160325519
710;0,073003865
711;0,017150827
712;0
713;1
714;2
715;3
716;4
717;4
718;5
719;5
720;6
721;7
722;8
723;9
724;9
725;10
726;11
727;13
728;14
729;15
730;16
731;18
732;19
733;20
734;22
735;23
736;24
737;25
738;26
739;27
740;27
741;28
742;28
743;28
744;29
745;29
746;29
747;29
748;29
749;29
750;29
751;29
752;29
753;28
754;28
755;28
756;27
757;27
758;26
759;25
760;24
761;23
762;22
763;21
764;21
765;20
766;19
767;18
768;17
769;17
770;16
771;15
772;15
773;14
774;14
775;13
