Tiempo,Velocidad referencia [km/h]
0,1.313651951
1,1.429854583
2,1.503975216
3,1.535741201
4,1.553388971
5,1.56461937
6,1.572394261
7,1.578095848
8,1.598196129
9,1.610533855
10,1.615156165
11,1.615156165
12,1.615156165
13,1.615156165
14,1.615156165
15,1.615156165
16,1.615156165
17,1.615156165
18,1.615156165
19,1.615156165
20,1.615156165
21,1.615156165
22,1.527579368
23,1.432240016
24,1.329185248
25,1.22150817
26,1.113831093
27,1.071010504
28,0.987295787
29,0.873139355
30,0.70824673
31,0.449129749
32,0.245449573
33,0.324282445
34,0.276449268
35,0.552686415
36,0.878652618
37,1.154863069
38,1.360454486
39,1.514300894
40,1.633968286
41,1.721724373
42,1.856103685
43,1.974093661
44,2.069614878
45,2.140952438
46,2.192886481
47,2.227996197
48,2.252453114
49,2.269468119
50,2.280735046
51,2.287392024
52,2.292138941
53,2.292138941
54,2.292138941
55,2.292138941
56,2.27370899
57,2.238889704
58,2.181601658
59,2.100129955
60,1.999254736
61,1.881555189
62,1.753202843
63,1.617408586
64,1.486431564
65,1.367233946
66,1.268940608
67,1.1864813
68,1.121346339
69,1.074910205
70,1.045798428
71,1.052267406
72,1.087131286
73,1.151502743
74,1.246490006
75,1.362595867
76,1.497061555
77,1.642180042
78,1.79474044
79,1.942483603
80,2.078447362
81,2.19350684
82,2.29273229
83,2.374633391
84,2.437835666
85,2.483713585
86,2.512440698
87,2.529162246
88,2.538844976
89,2.542095556
90,2.543631055
91,2.543631055
92,2.543631055
93,2.533065741
94,2.506111074
95,2.456342067
96,2.385992112
97,2.29831781
98,2.191944681
99,2.068247196
100,1.927398906
101,1.77454505
102,1.614652376
103,1.448327553
104,1.280287648
105,1.110712245
106,0.941136841
107,0.771561437
108,0.629135615
109,0.423125171
110,0.25306627
111,0.127502896
112,0.066542306
113,0.054359298
114,0.082921334
115,0.286202457
116,0.533253491
117,0.79819913
118,1.17637729
119,1.651482328
120,2.178395089
121,2.718399908
122,3.279146612
123,3.786914867
124,4.329745961
125,4.90379156
126,5.517580244
127,6.169478071
128,6.852598804
129,7.561029801
130,8.294525609
131,9.050524031
132,9.835662824
133,10.65370676
134,11.50686271
135,12.39265519
136,13.31019882
137,14.24256703
138,15.19554005
139,16.15698651
140,17.12962438
141,18.10555512
142,19.07130771
143,20.01424603
144,20.93196174
145,21.8190848
146,22.67617325
147,23.50666205
148,24.3154959
149,25.09740093
150,25.85530504
151,26.58515448
152,27.30081226
153,27.98418262
154,28.63702883
155,29.24885923
156,29.81705162
157,30.34181028
158,30.8202885
159,31.24631328
160,31.611054
161,31.89649545
162,32.09573218
163,32.20996172
164,32.25098071
165,32.232111
166,32.16006591
167,32.03818823
168,31.8897014
169,31.71654393
170,31.52533789
171,31.32580923
172,31.13832284
173,30.97127557
174,30.81500458
175,30.67775063
176,30.56521937
177,30.46675964
178,30.37015463
179,30.26253142
180,30.13274019
181,29.97864098
182,29.81021008
183,29.61503888
184,29.3821919
185,29.10929567
186,28.79769571
187,28.44437407
188,28.05554458
189,27.64660525
190,27.2293776
191,26.81008763
192,26.38852178
193,25.95684557
194,25.5025195
195,25.01341847
196,24.48481321
197,23.89247489
198,23.24014513
199,22.54005745
200,21.78817465
201,20.97312947
202,20.09095925
203,19.15600145
204,18.17608761
205,17.15011642
206,16.08658864
207,15.00217453
208,13.91180656
209,12.82863538
210,11.75930856
211,10.701538
212,9.669817394
213,8.677045294
214,7.729851307
215,6.833571883
216,5.9999843
217,5.2292932
218,4.517493389
219,3.864140805
220,3.266150097
221,2.720330462
222,2.054823861
223,1.438395247
224,0.93848621
225,0.539122143
